Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
401,511,425,1,532,354,1,382,437,610
399,511,425,1,532,356,0,386,437,611
401,513,426,0,533,352,0,377,434,610
403,512,426,1,533,345,0,380,431,612
405,510,428,0,529,358,0,389,433,605
405,512,429,0,531,362,6,394,435,603
404,511,429,0,531,361,7,397,437,603
401,513,428,0,531,362,6,397,437,605
401,512,427,0,532,359,0,394,440,609
403,513,427,0,532,350,0,382,434,610
395,516,424,0,538,344,0,343,389,579
383,516,412,1,550,293,0,338,401,594
391,518,418,0,545,304,0,288,374,599
394,517,422,0,535,315,0,305,398,605
396,515,424,0,533,324,0,358,411,607
398,516,427,0,533,338,0,373,415,599
394,517,424,0,535,319,0,363,426,606
396,516,427,0,533,312,0,364,416,601
400,516,428,0,535,344,0,370,425,601
402,516,429,0,531,343,0,377,426,601
402,515,429,0,532,341,0,381,426,601
399,516,427,0,533,343,3,383,427,601
400,516,428,0,532,343,5,384,430,601
400,516,429,0,533,348,1,381,429,601
403,516,428,0,535,350,0,383,429,603
402,516,429,0,534,354,0,386,436,602
399,515,429,0,534,352,6,385,435,601
401,516,429,0,535,348,4,388,435,602
404,516,430,0,535,355,0,384,440,602
404,516,430,0,535,359,0,388,442,602
404,516,431,0,534,360,2,390,443,602
402,516,430,0,533,353,5,389,440,601
403,515,429,0,534,355,8,387,439,602
405,516,431,0,534,354,6,390,443,601
405,517,430,0,536,359,1,386,441,603
406,517,430,0,533,363,0,389,443,602
404,516,431,0,534,359,1,390,443,601
404,518,429,0,540,355,5,370,415,590
409,532,421,0,563,330,1,263,309,544
405,534,406,0,567,271,0,193,206,549
388,546,369,0,579,185,0,90,69,546
382,549,360,0,580,170,0,107,109,556
374,558,359,0,588,180,0,109,129,561
377,562,365,0,588,186,0,144,158,575
377,568,367,0,588,192,0,163,199,588
384,566,372,1,585,210,0,165,240,596
391,569,381,1,584,232,0,176,240,585
392,572,386,2,585,245,0,187,254,578
392,572,388,2,585,256,0,186,247,576
394,573,391,0,585,260,0,185,252,576
396,575,396,1,584,256,0,190,258,577
398,574,400,1,584,267,0,196,260,576
397,577,399,0,585,268,0,185,226,560
400,577,402,2,584,246,0,182,213,550
398,579,403,2,584,254,0,185,246,555
